scientific_name,author,year,extinct
Sibirionetta formosa,Georgi,1775,0
Somateria fischeri,J. F. Brandt,1847,0
Somateria mollissima,Linnaeus,1758,0
Somateria spectabilis,Linnaeus,1758,0
Spatula clypeata,Linnaeus,1758,0
Spatula cyanoptera,Vieillot,1816,0
Spatula discors,Linnaeus,1766,0
Spatula hottentota,Eyton,1838,0
Spatula platalea,Vieillot,1816,0
Spatula puna,Tschudi,1844,0
Spatula querquedula,Linnaeus,1758,0
Spatula rhynchotis,Latham,1801,0
Spatula smithii,E. Hartert,1891,0
Spatula versicolor,Vieillot,1816,0
Speculanas specularis,P. P. King,1828,0
Stictonetta naevosa,Gould,1841,0
Tachyeres brachypterus,Latham,1790,0
Tachyeres leucocephalus,Humphrey & Thompson,1981,0
Tachyeres patachonicus,P. P. King,1831,0
Tachyeres pteneres,J. R. Forster,1844,0
Tadorna cana,J. F. Gmelin,1789,0
Tadorna cristata,Kuroda,1917,1
Tadorna ferruginea,Pallas,1764,0
Tadorna tadorna,Linnaeus,1758,0
Tadorna tadornoides,Jardine & Selby,1828,0
Tadorna variegata,J. F. Gmelin,1789,0
Thalassornis leuconotus,Eyton,1838,0
